"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44268","Armenia","795","177899","520.285714285714","26.8287143511349","10","3253","4.85714285714286","0.337468105045722","17.557983408236","1.38361923068746","-0.429066590700989","0.0182473753907704","0.507468224615842"
"2","44275","Armenia","1071","183127","746.857142857143","36.1428340503968","12","3332","11.2857142857143","0.404961726054866","25.2040464739862","1.33058852846599","0.978657504632594","0.0269332348539776","0.750080874208968"
"3","44282","Armenia","1094","189540","916.142857142857","36.919010692002","16","3450","16.8571428571429","0.539948968073155","30.9168993951173","0.110882377372166","-0.438708536559438","0.0347543155728831","1.07672235320277"
"4","44289","Armenia","1192","196044","929.142857142857","40.22619812145","23","3575","17.8571428571429","0.77617664160516","31.3556079316768","0.47245534706401","-0.0626726480799208","0.034841337333316","1.32077667388855"
"5","44296","Armenia","1009","202167","874.714285714286","34.0505317991133","23","3720","20.7142857142857","0.77617664160516","29.5188172456422","-0.882238046048101","-0.462813401205561","0.95086920265526","1.74013803701859"
"6","44303","Armenia","870","207973","829.428571428571","29.3597251389778","24","3859","19.8571428571429","0.809923452109732","27.990568827078","-0.670115237162219","-0.342289077974946","5.32778500597556","3.31893121375845"
"7","44310","Armenia","764","212878","700.714285714286","25.7825632254932","17","4001","20.2857142857143","0.573695778577727","23.6468722178467","-0.511023130497807","0.674936210091444","4.4907536862815","3.14710348310984"
"8","44268","Azerbaijan","733","239692","475.285714285714","7.22938360776225","8","3276","5.42857142857143","0.0789018674789877","4.68761630540343","0.535405529321702","0.238114564356231","0.00468438498732066","0.126281053623713"
"9","44275","Azerbaijan","1187","245490","828.285714285714","11.7070645871948","14","3339","9","0.138078268088228","8.16916120791376","0.639668711347507","0.212753249809414","0.00849452099499205","0.20025598923074"
"10","44282","Azerbaijan","1690","254370","1268.57142857143","16.6680195049362","19","3464","17.8571428571429","0.187391935262596","12.5115818430966","0.708707845391621","-0.5311786435639","0.0133156067318579","0.348988345524445"
"11","44289","Azerbaijan","1852","268174","1972","18.2657823213857","31","3648","26.2857142857143","0.305744736481077","19.4493103335705","0.228251830921357","-0.619943244477761","0.0216845537825003","0.534497500561758"
"12","44296","Azerbaijan","2192","283579","2200.71428571429","21.6191116892426","33","3879","33","0.325470203350824","21.705058366318","0.479047052550997","0.697436150037481","0.598223131958143","1.01279084599314"
"13","44303","Azerbaijan","2148","298522","2134.71428571429","21.1851514181082","30","4107","32.5714285714286","0.295882003046204","21.0541179596163","-0.0619943244477759","-0.00140896191926743","3.92531127866209","2.44039573499702"
"14","44310","Azerbaijan","1676","311465","1849","16.5299412368479","35","4342","33.5714285714286","0.345195670220571","18.236194121081","-0.665030025894325","-0.166257506473582","3.51358182446466","2.36720762532038"
"15","44268","Cyprus","398","39277","386","32.964511798065","0","238","0.857142857142857","0","31.9706069197314","1.18322009325431","-0.118322009325432","0.0347332976157048","1.08727500449484"
"16","44275","Cyprus","407","41882","372.142857142857","33.7099404568152","1","242","0.571428571428571","0.0828254065278016","30.8228834292747","0.106489808392888","0.331301626111207","0.0346532054613257","1.36579128877037"
"17","44282","Cyprus","334","44305","346.142857142857","27.6636857802857","2","250","1.14285714285714","0.165650813055603","28.6694228595519","-0.863750668075645","-0.828254065278015","0.0333183362216753","1.31676029135707"
"18","44289","Cyprus","404","47282","425.285714285714","33.4614642372318","0","261","1.57142857142857","0","35.2244621761808","0.828254065278015","-3.2420230555168","0.0388046487966386","1.22476398693213"
"19","44296","Cyprus","446","51035","536.142857142857","36.9401313113995","4","272","1.57142857142857","0.331301626111206","44.4062500998342","0.49695243916681","1.72750133615129","1.36341913623644","1.83804518227233"
"20","44303","Cyprus","786","55407","624.571428571429","65.100769530852","4","288","2.28571428571429","0.331301626111206","51.7303824770784","4.02294831706465","3.12370104619137","8.86841890520052","4.99279115134809"
"21","44310","Cyprus","895","61576","881.285714285714","74.1287388423824","1","298","1.42857142857143","0.0828254065278016","72.9928475528583","1.2897099016472","-1.21871669605194","13.3290224616853","5.81627575637992"
"22","44268","Georgia","344","274721","300.571428571429","8.62335419900947","9","3643","10.8571428571429","0.225611011020597","7.53469154265611","-0.0393923987496279","0.168312976475683","0.00854482756805243","0.322342622873533"
"23","44275","Georgia","422","277218","356.714285714286","10.5786496278546","8","3691","6.85714285714286","0.200543120907197","8.94207451616555","0.279327918406453","0.179056357952855","0.00977302027759755","0.321883663277605"
"24","44282","Georgia","490","279936","388.285714285714","12.2832661555658","8","3746","7.85714285714286","0.200543120907197","9.73350361831716","0.243516646815882","0.0322301444315138","0.010706285132548","0.382007370344192"
"25","44289","Georgia","580","283369","490.428571428571","14.5393762657718","6","3804","8.28571428571429","0.150407340680398","12.294009537043","0.322301444315138","-0.0716225431811417","0.0135060796973992","0.415817393910899"
"26","44296","Georgia","506","287689","617.142857142857","12.6843523973802","11","3869","9.28571428571429","0.275746791247396","15.4704693271266","-0.265003409770225","-1.15312294521638","0.531863547024805","0.670002917949969"
"27","44303","Georgia","1219","294540","978.714285714286","30.5577580482341","9","3925","8","0.225611011020597","24.5343021667001","2.5533436644077","1.47900551669058","4.08607906437243","1.73941330758681"
"28","44310","Georgia","1250","302785","1177.85714285714","31.3348626417495","15","4007","11.7142857142857","0.376018351700994","29.5263934264257","0.11101494193077","-0.583723726926305","5.46807648008392","2.75850013200862"
"29","44268","Kazakhstan","1104","273469","830.285714285714","5.87962521862859","1","3193","1.85714285714286","0.00532574748064184","4.42189205107005","0.19020526716578","0.0928201703769007","0.00477404715477147","0.180843585683344"
"30","44275","Kazakhstan","1222","281798","1189.85714285714","6.50806342134433","1","3201","1.14285714285714","0.00532574748064184","6.33687868089513","0.0897768861022482","-0.179553772204496","0.00704777079968151","0.188904191227821"
"31","44282","Kazakhstan","1690","290792","1284.85714285714","9.00051324228471","3","3220","2.71428571428571","0.0159772424419255","6.8428246915561","0.35606426013434","0.148360108389308","0.00731814563854397","0.270712837015918"
"32","44289","Kazakhstan","2104","303922","1875.71428571429","11.2053726992704","4","3240","2.85714285714286","0.0213029899225674","9.98958063154677","0.314979922426532","-0.113362339230805","0.0109145601618256","0.292326960754132"
"33","44296","Kazakhstan","2944","320881","2422.71428571429","15.6790005830096","5","3267","3.85714285714286","0.0266287374032092","12.9027645034579","0.639089697677021","0.149881750526634","0.412357185249776","0.538353297310626"
"34","44303","Kazakhstan","2896","338764","2554.71428571429","15.4233647039388","6","3288","3","0.031954484883851","13.6057631709026","-0.0365194112958296","-0.026628737403209","2.5359879207979","1.45071489477183"
"35","44310","Kazakhstan","2916","358834","2867.14285714286","15.5298796535516","7","3311","3.28571428571429","0.0372802323644929","15.2696788480688","0.0152164213732624","-0.0669522540423545","2.83567886966694","1.52975614500883"
"36","44268","Kosovo","0","76070","495.714285714286","0","0","1688","6.85714285714286","0","27.3819926862461","-9.12207018596555","-15.2060806646675","0.0411826598687657","1.39866100783426"
"37","44275","Kosovo","0","80295","603.571428571429","0","0","1752","9.14285714285714","0","33.3397461381526","0","-4.67940105560344","0.0376127838187495","1.16976468960831"
"38","44282","Kosovo","0","84172","553.857142857143","0","0","1811","8.42857142857143","0","30.5936558053533","0","15.4270304615594","0.0345147367728501","1.42428121429254"
"39","44289","Kosovo","0","91079","986.714285714286","0","0","1892","11.5714285714286","0","54.5035802547267","0","0","0.0614891119138705","1.30696763735199"
"40","44296","Kosovo","0","95886","686.714285714286","0","0","1968","10.8571428571429","0","37.9323454878343","0","0","0.042794000429995","2.32840481588605"
"41","44303","Kosovo","0","100329","634.714285714286","0","0","2061","13.2857142857143","0","35.0599981282396","0","-8.83010081150126","6.51736476067664","4.2649014153583"
"42","44310","Kosovo","0","102720","341.571428571429","0","0","2115","7.71428571428571","0","18.8675344417332","0","8.83010081150126","3.50731918586042","3.94195069449489"
"43","44268","Kyrgyzstan","0","86818","44.5714285714286","0","0","1480","1.28571428571429","0","0.683171311884893","-0.120430840236119","-0.168603176330566","0.000906597005830839","0.0300271087485671"
"44","44275","Kyrgyzstan","150","87389","81.5714285714286","2.29913422268954","3","1490","1.42857142857143","0.0459826844537908","1.25029108681498","0.328447746098506","0.256189241956835","0.00103999275055799","0.029185227194869"
"45","44282","Kyrgyzstan","88","87946","79.5714285714286","1.34882541064453","1","1495","0.714285714285714","0.0153275614845969","1.21963596384579","-0.135758401720716","-0.144517008283343","0.00152911048122422","0.0534127074624045"
"46","44289","Kyrgyzstan","142","88842","128","2.17651373081277","2","1502","1","0.0306551229691939","1.96192787002841","0.118241188595462","-0.0175172131252536","0.00207998550111598","0.0521031139344296"
"47","44296","Kyrgyzstan","208","90019","168.142857142857","3.18813278879617","3","1519","2.42857142857143","0.0459826844537908","2.57721998105294","0.144517008283343","0.168603176330566","0.0638342477223079","0.105490261095406"
"48","44303","Kyrgyzstan","265","91639","231.428571428571","4.06180379341819","2","1546","3.85714285714286","0.0306551229691939","3.54723565786387","0.124810143517432","-0.0481723360944476","0.63620070262571","0.289768244054606"
"49","44310","Kyrgyzstan","325","93603","280.571428571429","4.98145748249401","5","1578","4.57142857142857","0.0766378074229847","4.30047582224977","0.131379098439402","0.0394137295318207","0.775000727958638","0.398831397934122"
"50","44268","North Macedonia","1030","112107","753.571428571429","49.4390349500378","20","3300","16.4285714285714","0.959981261165782","36.170722518925","2.11195877456472","1.92681953133989","0.0384239553757283","1.27425819266936"
"51","44275","North Macedonia","1299","118736","947","62.3507829127175","24","3448","21.1428571428571","1.15197751339894","45.4551127161998","1.84453542323997","0.946267243149127","0.0491999911797125","1.54522114168526"
"52","44282","North Macedonia","1320","126230","1070.57142857143","63.3587632369416","35","3642","27.7142857142857","1.67996720704012","51.3864255084027","0.143997189174867","-2.73594659432248","0.0578099896361621","1.94185231246096"
"53","44289","North Macedonia","1394","134134","1129.14285714286","66.910693903255","45","3905","37.5714285714286","2.15995783762301","54.1977992018167","0.507418666616197","1.21369059447388","0.0605716872542686","2.19523928640556"
"54","44296","North Macedonia","1092","141157","1003.28571428571","52.4149768596517","32","4182","39.5714285714286","1.53597001786525","48.1567742654806","-2.07081672051476","-1.09712144133232","1.54403576888777","2.98171691345171"
"55","44303","North Macedonia","824","146733","796.571428571429","39.5512279600302","31","4419","33.8571428571429","1.48797095480696","38.2346822304314","-1.83767841423164","-0.0137140180166528","7.4491216510446","5.4144791755577"
"56","44310","North Macedonia","564","150274","505.857142857143","27.0714715648751","22","4650","33","1.05597938728236","24.280668898486","-1.78282234216502","1.09026443232399","4.84498826071536","4.29889447286198"
"57","44268","Russia","9808","4331396","9658.71428571429","6.72082513313408","468","90169","416.571428571429","0.320691900724587","6.61852872402016","-0.107778321946816","0.0107680430646229","0.00758839409784738","0.320415882765263"
"58","44275","Russia","9548","4397816","9488.57142857143","6.54266296606486","386","93090","417.285714285714","0.264502294187373","6.50194018502047","-0.025451738152745","-0.0173267602039841","0.0073639847252949","0.282744988183639"
"59","44282","Russia","8783","4460348","8933.14285714286","6.0184550514189","382","95792","386","0.261761337770923","6.12133880833635","-0.0748868449494228","-0.0221234339327707","0.00699037404254636","0.277764300412023"
"60","44289","Russia","8906","4520879","8647.28571428571","6.10273946122472","377","98363","367.285714285714","0.258335142250362","5.9254583158608","0.0120406299722601","0.0503161285019651","0.00667131957536914","0.261504926729368"
"61","44296","Russia","8580","4580633","8536.28571428571","5.87935151328409","395","100949","369.428571428571","0.270669446124384","5.84939677530433","-0.0319125639915187","-0.0656850626941995","0.169904174544097","0.313915103367352"
"62","44303","Russia","9201","4640537","8557.71428571429","6.30488499693787","392","103451","357.428571428571","0.268613728812047","5.86408047039245","0.0607904976648254","0.0759636492558849","1.07878378732082","0.657673557096246"
"63","44310","Russia","8698","4699988","8493","5.96020972756935","390","106108","379.571428571429","0.267243250603822","5.81973571122632","-0.0492393241955027","-0.0340661726044431","1.09099409923641","0.659324509895464"
