"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44143","Australia","7","27665","9.14285714285714","0.027451105267773","0","908","0","0","0.0358545048395402","0.000560226638117816","0.00280113319058908","0.0152873952243808","0.012488112867387"
"2","44150","Australia","38","27749","12","0.149020285739339","0","908","0","0","0.0470590376018965","0.0173670257816523","0.00448181310494253","0.0128608245538441","0.0105163055725365"
"3","44157","Australia","13","27834","12.1428571428571","0.0509806240687213","0","908","0","0","0.0476192642400144","-0.0140056659529454","-0.00616249301929597","0.0266922773759029","0.0138026510639541"
"4","44164","Australia","10","27902","9.71428571428571","0.0392158646682471","1","909","0.142857142857143","0.00392158646682471","0.0380954113920115","-0.00168067991435345","0.0033613598287069","0.0172286517608101","0.013966968338525"
"5","44171","Australia","7","27972","10","0.027451105267773","0","909","0","0","0.0392158646682471","-0.00168067991435345","-0.0033613598287069","0.0180415210512959","0.0108277108436694"
"6","44178","Australia","7","28037","9.28571428571429","0.027451105267773","0","909","0","0","0.036414731477658","9.91270557701033e-19","0.00224090655247126","0.0181383854878882","0.00908116242990793"
"7","44185","Australia","30","28198","23","0.117647594004741","0","909","0","0","0.0901964887369684","0.0128852126767098","-0.00784317293364943","0.0385091876512088","0.00843250797062879"
"8","44143","Brunei","0","148","0","0","0","3","0","0","0","0","0","0","0"
"9","44150","Brunei","0","148","0","0","0","3","0","0","0","0","0","0","0"
"10","44157","Brunei","0","148","0","0","0","3","0","0","0","0","0","0","0"
"11","44164","Brunei","0","150","0.285714285714286","0","0","3","0","0","0.0653092572933297","0","0","0.0282881101111077","0"
"12","44171","Brunei","0","151","0.142857142857143","0","0","3","0","0","0.0326546286466648","0","0","0.0141440550555538","0.0191555317661129"
"13","44178","Brunei","0","152","0.142857142857143","0","0","3","0","0","0.0326546286466648","0","0","0.0162654568171249","0.00756178626526107"
"14","44185","Brunei","0","152","0","0","0","3","0","0","0","0","0","0","0.00756178626526107"
"15","44143","Fiji","0","34","0","0","0","2","0","0","0","0","0","0","0.00467409761976881"
