"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","44345","Antigua & Barbuda","0","1259","0.285714285714286","0","0","42","0","0","0.291756571428571","-0.291756571428571","-0.437634857142857","0.0479369961996788","1.95406180405637"
"2","44352","Antigua & Barbuda","0","1263","0.571428571428571","0","0","42","0","0","0.583513142857143","0","-6.34413156928661e-17","0.0479369961996788","0.244257725507046"
"3","44359","Antigua & Barbuda","0","1263","0","0","0","42","0","0","0","0","0.145878285714286","0","0.488515451014092"
"4","44366","Antigua & Barbuda","0","1263","0","0","0","42","0","0","0","0","0","0","0"
"5","44373","Antigua & Barbuda","0","1263","0","0","0","42","0","0","0","0","0","0","0"
"6","44380","Antigua & Barbuda","0","1264","0.142857142857143","0","0","42","0","0","0.145878285714286","0","0","0.027580013300381","0"
"7","44387","Antigua & Barbuda","0","1266","0.285714285714286","0","0","42","0","0","0.291756571428571","0","0","0.055160026600762","0.127772889635233"
"8","44345","Argentina","29841","3732263","31082.8571428571","66.026085","415","77108","488.571428571429","0.918227","68.7738132857143","-0.736478428571429","-1.91832085714286","5.71043622673304","59.2094402361628"
"9","44352","Argentina","23627","3939024","29537.2857142857","52.277012","456","80867","537","1.008944","65.3540875714286","-1.96415328571429","0.645762000000001","5.53035402139686","57.5772299673034"
"10","44359","Argentina","18057","4111147","24589","39.95285","447","85075","601.142857142857","0.989031","54.405529","-1.76059457142857","-0.491196428571429","4.61418099172691","54.7142458681299"
"11","44366","Argentina","15631","4258394","21035.2857142857","34.585092","495","88742","523.857142857143","1.095235","46.5425942857143","-0.766822571428571","1.31017314285714","3.88658141440544","45.5481455086988"
"12","44373","Argentina","18555","4393142","19249.7142857143","41.054723","338","92317","510.714285714286","0.747858","42.5918455714286","0.924233","-0.232638857142856","4.23489063383425","39.156476785877"
"13","44380","Argentina","14034","4526473","19047.2857142857","31.051576","212","95594","468.142857142857","0.46907","42.143953","-1.429021","-0.438093857142858","8.23798549984928","37.3056425561361"
"14","44387","Argentina","11561","4639098","16089.2857142857","25.579825","353","98501","415.285714285714","0.781046","35.599093","-0.781678714285714","1.23178385714286","6.87821469004187","36.9133392889475"
"15","44345","Bahamas","61","11745","49.8571428571429","15.511998","0","229","1","0","12.6784242857143","2.21599971428571","-0.0363278571428575","0.85951312846913","11.3138510375727"
"16","44352","Bahamas","0","11930","26.4285714285714","0","0","232","0.428571428571429","0","6.72065471428571","-2.21599971428571","0.0363278571428573","0.734167472702757","10.6143387409529"
"17","44359","Bahamas","0","12092","23.1428571428571","0","0","236","0.571428571428571","0","5.88511385714286","0","-1.45311457142857","0.483476137697899","5.62651194587241"
"18","44366","Bahamas","53","12295","29","13.477637","1","241","0.714285714285714","0.254295","7.37455628571429","1.92537671428571","3.37849128571429","0.44766309654638","4.9269996492526"
"19","44373","Bahamas","0","12467","24.5714285714286","0","0","245","0.571428571428571","0","6.24839257142857","-1.92537671428571","-4.10504857142857","0.904522112923539","6.24844915030225"
"20","44380","Bahamas","0","12735","38.2857142857143","0","0","246","0.142857142857143","0","9.73586728571429","0","2.17967185714286","1.84068072856747","5.47288563556631"
