Date,Country,New Cases,Cumulative Cases,7 Day Moving Average,Infection Rate,Deaths,Cumulative Deaths,7 Day Moving Average,Death Rate,Speed,Acceleration,Jerk,1 Day Persistence,7 Day Persistence
10/1/2020,AK,132,8912,138.7142857,18.04400276,1,57,1.714285714,0.136696991,18.96182541,2.57771468,1.581779463,0.600115567,9.994504448
10/8/2020,AK,135,9996,154.8571429,18.45409373,1,60,0.428571429,0.136696991,21.1685054,0.058584425,-3.22214335,0.773212072,20.64822089
10/15/2020,AK,165,11348,193.1428571,22.55500345,1,65,0.714285714,0.136696991,26.40204733,0.585844245,3.124502643,0.945593301,23.05115494
10/22/2020,AK,233,12877,218.4285714,31.85039881,0,68,0.428571429,0,29.85852838,1.327913623,0,1.0450165,28.75014896
10/29/2020,AK,367,15522,377.8571429,50.16779556,6,77,1.285714286,0.820181944,51.65193431,2.616770963,-0.214809557,1.796055052,32.51403681
11/5/2020,AK,314,18174,378.8571429,42.92285505,0,84,1,0,51.7886313,-1.0349915,-2.109039284,0.717946402,61.21928776
11/12/2020,AK,481,21812,519.7142857,65.75125249,0,96,1.714285714,0,71.04337884,3.261199633,1.562251321,0.676148047,61.98115485
10/1/2020,AL,1043,155744,1076.857143,21.27188756,8,2548,6,0.163159253,21.96240082,-0.029135581,-1.713172152,0.805503793,20.46060877
10/8/2020,AL,557,161975,890.1428571,11.35996296,36,2637,12.71428571,0.734216637,18.15438041,-1.415989228,-0.815796263,0.716821539,23.91565652
10/15/2020,AL,1185,169162,1026.714286,24.16796429,50,2756,17,1.019745329,20.93974194,1.829714476,2.287143095,0.699960172,19.76896468
10/22/2020,AL,2536,177064,1128.857143,51.72148308,38,2843,12.42857143,0.77500645,23.02293597,3.936216969,6.220446506,0.699106432,22.80204609
10/29/2020,AL,1443,189149,1726.428571,29.42985019,3,2914,10.14285714,0.06118472,35.21034942,-3.184518984,-6.88182419,1.406323395,25.07051178
11/5/2020,AL,1381,199158,1429.857143,28.16536598,20,3026,16,0.407898132,29.16180285,-0.180640601,-1.867590731,0.404754427,40.92943091
11/12/2020,AL,2000,210637,1639.857143,40.78981315,12,3213,26.71428571,0.244738879,33.44473323,1.803492453,1.156682559,0.315631091,34.90113897
10/1/2020,AR,1124,84821,824.5714286,37.24562629,15,1384,19.71428571,0.497050173,27.32355808,0.179884824,0.369237271,0.994215745,30.09383357
10/8/2020,AR,1265,90145,760.5714286,41.91789792,21,1503,17,0.695870242,25.20281067,0.667467375,1.297064261,0.898678097,29.75361551
10/15/2020,AR,1278,96524,911.2857143,42.34867473,11,1645,20.28571429,0.36450346,30.19698146,0.061539545,-1.216589471,1.103797948,27.44425658
10/22/2020,AR,1202,102798,896.2857143,39.83028719,21,1772,18.14285714,0.695870242,29.69993128,-0.359769649,-0.719539298,1.101023715,32.88259067
10/29/2020,AR,1072,109712,987.7142857,35.52251902,19,1894,17.42857143,0.629596886,32.72957043,-0.615395452,0.302963915,1.221356071,32.34133467
11/5/2020,AR,1548,117360,1092.571429,51.29557784,11,2037,20.42857143,0.36450346,36.20418783,2.253294117,0.681668809,0.47392305,38.488335
11/12/2020,AR,1809,128006,1520.857143,59.94425085,18,2144,15.28571429,0.596460207,50.39615372,1.235524716,-1.931394958,0.490392367,43.32953615
10/1/2020,AZ,705,219212,480,9.685772918,24,5674,16.42857143,0.32972844,6.594568796,0.268885692,0.49459266,0.231696487,8.95923429
10/8/2020,AZ,863,223401,598.4285714,11.85648515,10,5743,9.857142857,0.13738685,8.221621632,0.310101747,-0.241408322,0.289782358,7.181065652
10/15/2020,AZ,1113,228748,763.8571429,15.29115639,17,5789,6.571428571,0.233557645,10.49439266,0.490667321,-0.092245456,0.36641545,8.952822624
10/22/2020,AZ,994,234906,879.7142857,13.65625288,5,5859,10,0.068693425,12.08611745,-0.233557645,-0.378795172,0.451243826,11.42772561
10/29/2020,AZ,1315,242480,1082,18.06637076,13,5918,8.428571429,0.178602905,14.86525716,0.63001684,0.496555329,0.521406957,13.16101258
11/5/2020,AZ,2135,252768,1469.714286,29.33209246,28,6087,24.14285714,0.38468318,20.1919416,1.609388813,2.05687741,0.254154615,17.58425016
11/12/2020,AZ,1399,266562,1970.571429,19.2204203,12,6240,21.85714286,0.16486422,27.07306011,-1.444524593,-3.829167774,0.284471663,24.1659188
10/1/2020,CA,3062,813687,3292.428571,7.749500705,96,15888,82,0.242962792,8.332683715,-0.039047591,-0.058571387,0.306638936,9.621802121
10/8/2020,CA,3575,834800,3016.142857,9.047833122,133,16361,67.57142857,0.336604701,7.633442586,0.18547606,0.343112633,0.272803372,9.073762163
10/15/2020,CA,3329,858401,3371.571429,8.425240969,118,16757,56.57142857,0.298641765,8.532983397,-0.088941736,-0.053509662,0.31580301,8.312333082
10/22/2020,CA,2940,880724,3189,7.440735491,162,17189,61.71428571,0.409999711,8.070920231,-0.14064364,-0.517019036,0.300772339,9.291875767
10/29/2020,CA,4191,912904,4597.142857,10.60684437,66,17541,50.28571429,0.167036919,11.63473606,0.452301268,0.160167435,0.409589102,8.788718391
11/5/2020,CA,4566,944576,4524.571429,11.55591777,63,17815,39.14285714,0.159444332,11.45106776,0.135581915,-0.161975194,0.153261146,13.68505828
11/12/2020,CA,6927,991609,6719,17.53128393,38,18108,41.85714286,0.096172772,17.00486455,0.853623736,0.084964667,0.161113586,13.70475307
10/1/2020,CO,511,70536,552.4285714,8.873475013,8,1960,4.857142857,0.138919374,9.592878914,-0.260473826,0.034729843,0.360907617,10.75938854
10/8/2020,CO,731,74922,626.5714286,12.6937578,7,1990,4.285714286,0.121554452,10.88036383,0.545754683,0.250551014,0.378535029,10.44603452
10/15/2020,CO,692,80777,836.4285714,12.01652585,16,2025,5,0.277838748,14.52451669,-0.096747421,-1.074144445,0.535546198,11.84802363
10/22/2020,CO,1267,88849,1153.142857,22.00135585,6,2066,5.857142857,0.10418953,20.02423548,1.426404286,1.029491789,0.681199498,15.81627414
10/29/2020,CO,1475,100208,1622.714286,25.61325958,12,2094,4,0.208379061,28.17830659,0.515986246,-0.042171953,1.013212699,21.80511782
11/5/2020,CO,2928,117637,2489.857143,50.84449087,13,2147,7.571428571,0.225743983,43.23617445,3.604461614,0.803747807,0.492861328,33.35666231
11/12/2020,CO,3975,142402,3537.857143,69.02556394,0,2201,7.714285714,0,61.43461244,2.597296153,-0.697077573,0.586920293,51.74548846
10/1/2020,CT,192,57742,181.4285714,5.38526071,3,4511,1.714285714,0.084144699,5.088750819,0.140241164,-0.124213603,0.181253516,4.738487983
10/8/2020,CT,384,59748,286.5714286,10.77052142,5,4527,2.285714286,0.140241164,8.037822161,0.769322959,1.161998219,0.266229861,5.541325726
10/15/2020,CT,167,62028,325.7142857,4.684054888,3,4540,1.857142857,0.084144699,9.135710133,-0.869495219,-1.033777726,0.36646966,8.752676698
10/22/2020,CT,502,65373,477.8571429,14.0802129,2,4569,4.142857143,0.056096466,13.40304842,1.342308287,0.332571904,0.441759582,9.948206816
10/29/2020,CT,1319,70446,724.7142857,36.99561915,5,4609,5.714285714,0.140241164,20.32695504,3.273629464,2.977119574,0.624627502,14.59506658
11/5/2020,CT,1687,77060,944.8571429,47.31736884,11,4656,6.714285714,0.308530561,26.50157317,1.474535671,-2.632526999,0.390513693,24.03401456
11/12/2020,CT,1158,85899,1262.714286,32.47985366,10,4726,10,0.280482329,35.41690433,-2.119645026,-3.077291834,0.374438604,31.71734933
10/1/2020,DC,32,15358,36,4.534189917,1,628,1,0.141693435,5.100963657,-0.485806063,-0.425080305,0.204631642,6.965323073
10/8/2020,DC,68,15765,58.14285714,9.635153574,2,634,0.857142857,0.28338687,8.238461145,0.728709094,0.344112628,0.275066446,5.554624729
10/15/2020,DC,34,16166,57.28571429,4.817576787,0,638,0.571428571,0,8.117009629,-0.688225255,-1.072821722,0.322517262,8.971159781
